show_type;genre;running_minutes;source_language;pelicula_id;finished;ranking;estreno_fecha;estreno_hora;efectos especiales
TV;Comedy;22;English;27;false;8.8;31/12/2016;18:24:53;Maquillaje Sonido
TV;Comedy;22;English;27;false;4.4;31/03/2014;23:58:43;Optico Sonido
TV;Comedy;22;English;27;true;5.3;17/10/2005;04:45:49;Optico Sonido
TV;Comedy;21;English;27;true;2.2;28/08/2012;07:48:35;Maquillaje Optico
TV;Comedy;21;English;27;true;3.0;25/10/1999;15:21:30;Maquillaje Optico Sonido
TV;Comedy;20;English;27;false;3.8;16/03/2004;19:31:39;Sonido
TV;Comedy;22;English;27;true;2.5;26/01/2007;20:50:52;Sonido
TV;Comedy;22;English;27;false;2.1;08/05/2014;05:12:32;Maquillaje Optico
TV;Comedy;21;English;24;true;8.8;02/09/2014;20:14:10;Maquillaje Optico Sonido
TV;Comedy;21;English;24;true;1.6;21/08/2017;02:38:11;Optico Sonido
TV;Comedy;12;English;24;false;3.0;05/04/2008;01:46:27;Maquillaje
TV;Kids;23;English;3;true;5.6;09/01/2023;08:42:45;Sonido
TV;Fantasy;40;English;29;false;1.0;27/08/2000;03:35:01;Maquillaje Optico Sonido
TV;Fantasy;41;English;29;false;4.3;21/07/2009;09:35:23;Maquillaje
TV;Fantasy;41;English;29;true;2.9;29/12/2014;22:32:33;Maquillaje Sonido
TV;Comedy;22;English;28;true;3.0;25/02/2016;16:44:37;Optico Sonido
TV;Comedy;22;English;26;false;4.6;25/01/2004;09:36:02;Maquillaje Sonido
TV;Comedy;22;English;26;true;3.0;08/10/2019;08:17:03;Optico Sonido
TV;Comedy;22;English;26;false;6.5;11/08/2009;03:09:31;Maquillaje
TV;Comedy;22;English;26;false;2.1;05/01/2013;00:38:40;Maquillaje Sonido
TV;Comedy;22;English;26;true;7.8;05/08/2020;19:41:39;Maquillaje Optico
TV;Comedy;22;English;26;true;7.9;30/10/2001;13:52:27;Maquillaje Optico Sonido
TV;Comedy;22;English;26;false;7.2;10/05/2018;01:30:21;Maquillaje Sonido
TV;Comedy;22;English;26;true;1.5;17/07/2006;11:48:30;Optico
TV;Comedy;22;English;26;true;1.6;22/10/1999;18:24:34;Maquillaje Optico Sonido
TV;Comedy;22;English;26;false;3.9;12/11/2020;20:55:27;Maquillaje Optico Sonido
TV;Comedy;22;English;26;false;0.5;03/06/2018;21:11:47;Maquillaje Sonido
TV;Comedy;22;English;26;false;1.4;24/01/2008;20:25:13;Optico
MOVIE;Musical;121;English;26;true;2.2;15/04/2018;17:30:11;Optico
MOVIE;Romance;124;English;26;true;4.6;10/11/2022;18:46:42;Optico Sonido
MOVIE;Action and Adventure;141;English;26;true;3.6;09/10/2002;01:17:02;Maquillaje Optico Sonido
MOVIE;Comedy;102;English;26;true;0.5;27/01/2008;13:53:36;Maquillaje Sonido
MOVIE;Kids;109;English;26;true;7.0;10/05/2016;12:04:11;Optico
MOVIE;Action and Adventure;91;English;26;false;1.1;17/03/2014;06:56:15;Maquillaje Optico Sonido
MOVIE;Action and Adventure;114;English;26;false;9.4;27/03/2000;07:46:40;Maquillaje Optico Sonido
MOVIE;Fantasy;161;English;26;false;5.4;07/11/2020;16:25:23;Maquillaje
MOVIE;Fantasy;158;English;26;true;7.9;27/09/2003;07:36:42;Maquillaje
MOVIE;Fantasy;142;English;26;true;4.8;08/10/2018;00:49:22;Maquillaje Optico
MOVIE;Fantasy;153;English;26;false;2.9;07/04/2018;00:07:48;Maquillaje
MOVIE;Musical;146;English;26;true;5.2;31/01/2007;12:07:15;Optico Sonido
TV;Musical;43;English;30;false;8.8;04/08/2022;23:47:35;Sonido
TV;Musical;43;English;30;true;0.5;18/06/2006;08:32:41;Sonido
TV;Musical;43;English;30;false;4.3;25/04/2009;00:26:37;Sonido
TV;Musical;40;English;30;true;8.4;03/04/2006;23:03:51;Sonido
TV;Musical;42;English;30;true;2.1;07/07/2003;22:31:10;Maquillaje Optico Sonido
TV;Musical;43;English;30;false;9.9;22/06/2016;02:46:12;Optico
TV;Musical;42;English;30;false;1.0;20/05/2000;22:10:37;Optico
TV;Musical;43;English;30;false;9.0;15/05/2018;07:23:21;Maquillaje Sonido
TV;Musical;43;English;30;false;6.6;10/11/2002;23:24:02;Maquillaje Optico Sonido
TV;Musical;43;English;30;false;8.3;04/07/2002;03:28:05;Maquillaje Optico
TV;Musical;43;English;30;false;2.1;16/12/2021;01:36:03;Maquillaje Sonido
TV;Musical;42;English;30;false;9.8;17/09/2001;15:30:24;Maquillaje Optico Sonido
TV;Musical;41;English;30;true;5.1;17/03/1999;19:51:17;Maquillaje Optico
TV;Musical;43;English;30;true;7.4;23/11/2008;07:54:39;Sonido
TV;Musical;43;English;30;false;1.1;22/11/2009;16:14:36;Optico Sonido
TV;Musical;42;English;30;true;1.4;13/06/2009;00:38:14;Optico
TV;Musical;43;English;30;false;9.1;19/03/2007;23:34:16;Optico Sonido
TV;Musical;43;English;30;false;8.0;17/01/2018;04:56:08;Maquillaje Sonido
TV;Musical;41;English;30;true;7.8;29/12/2007;06:00:48;Maquillaje
TV;Musical;42;English;30;true;6.4;21/07/2015;10:35:06;Optico Sonido
TV;Musical;43;English;30;false;6.7;01/03/2012;02:35:47;Maquillaje Optico
TV;Musical;42;English;30;true;3.2;30/11/2001;20:07:29;Optico Sonido
TV;Musical;42;English;30;true;9.1;08/03/2013;14:11:43;Optico Sonido
TV;Musical;43;English;30;false;2.7;12/03/2009;17:38:35;Maquillaje Sonido
TV;Musical;43;English;30;false;7.4;14/02/2010;12:25:25;Sonido
TV;Musical;43;English;30;true;4.3;08/04/2004;02:50:42;Optico
TV;Musical;42;English;30;false;4.6;29/11/2009;13:18:11;Sonido
TV;Musical;43;English;30;false;4.5;23/10/2022;17:46:56;Maquillaje
TV;Musical;43;English;30;true;5.4;24/03/2014;02:39:14;Maquillaje Optico
TV;Musical;42;English;30;false;5.8;06/09/2007;06:31:44;Maquillaje Sonido
TV;Musical;43;English;30;true;0.1;12/10/2014;14:09:32;Maquillaje Optico
TV;Musical;59;English;2;false;4.7;24/03/2007;02:47:45;Maquillaje
TV;Musical;43;English;30;true;1.8;18/03/2012;14:17:15;Optico Sonido
TV;Musical;43;English;30;false;3.2;10/11/2020;14:56:20;Maquillaje Sonido
TV;Musical;43;English;30;true;1.4;28/12/2007;03:30:14;Maquillaje Sonido
TV;Musical;43;English;30;false;7.6;14/09/2020;00:46:39;Optico Sonido
TV;Musical;42;English;30;false;3.7;18/10/2015;00:22:41;Maquillaje Optico Sonido
TV;Musical;43;English;30;false;7.5;21/02/2021;06:44:25;Optico Sonido
TV;Musical;42;English;30;false;2.5;27/01/2013;05:24:21;Maquillaje Optico
TV;Musical;43;English;30;false;8.6;04/04/2022;00:18:04;Sonido
TV;Musical;43;English;30;false;4.8;29/07/2017;16:04:58;Maquillaje Optico Sonido
TV;Musical;41;English;30;false;2.0;09/04/2011;23:14:06;Maquillaje Sonido
TV;Musical;42;English;30;false;5.3;11/07/2001;22:58:29;Maquillaje Optico Sonido
TV;Musical;42;English;30;true;6.3;03/10/2022;21:27:54;Optico
TV;Musical;43;English;30;true;7.9;15/04/2012;05:29:17;Optico Sonido
TV;Musical;42;English;30;true;8.9;01/03/2022;18:13:22;Sonido
TV;Musical;43;English;30;true;3.4;30/11/2022;16:33:38;Sonido
TV;Musical;42;English;30;true;1.6;23/05/2002;14:00:49;Maquillaje Optico Sonido
TV;Musical;43;English;30;false;2.4;01/04/2008;20:08:00;Optico Sonido
TV;Musical;43;English;30;true;4.9;02/04/2004;02:45:59;Maquillaje Optico
TV;Musical;42;English;30;false;4.1;16/11/2011;03:16:58;Maquillaje Optico Sonido
TV;Comedy;22;English;27;true;1.7;27/10/2006;12:24:34;Maquillaje Optico
TV;Comedy;20;English;27;true;5.4;01/01/2022;19:52:20;Maquillaje
TV;Comedy;21;English;27;true;1.9;08/07/2012;04:17:00;Maquillaje Sonido
TV;Comedy;21;English;27;false;9.9;17/01/2017;19:15:59;Optico Sonido
TV;Comedy;22;English;27;true;6.5;06/12/2008;03:20:20;Maquillaje
TV;Comedy;22;English;27;false;8.2;12/04/2000;01:57:14;Maquillaje
TV;Comedy;20;English;27;false;2.8;26/12/2004;08:06:17;Maquillaje Optico
TV;Comedy;22;English;27;false;8.0;06/03/2017;22:04:19;Maquillaje Optico
TV;Comedy;22;English;27;false;6.5;14/01/2016;12:42:45;Sonido
TV;Comedy;21;English;27;true;1.9;04/01/2003;10:27:31;Optico Sonido
TV;Comedy;20;English;27;true;6.3;19/09/2009;06:28:10;Optico Sonido
TV;Comedy;21;English;27;true;0.0;29/03/1999;10:38:07;Maquillaje Optico
TV;Comedy;22;English;27;true;0.5;26/09/2007;16:32:33;Maquillaje Sonido
TV;Comedy;21;English;27;false;7.7;22/02/2023;20:04:14;Maquillaje Sonido
TV;Comedy;21;English;27;false;2.7;17/08/2013;05:15:59;Maquillaje Sonido
TV;Comedy;22;English;27;false;0.4;16/09/2007;06:59:31;Maquillaje Optico Sonido
TV;Comedy;22;English;27;true;6.8;20/01/2002;18:35:26;Sonido
TV;Comedy;21;English;27;false;0.1;29/07/2021;13:07:00;Maquillaje Optico
TV;Comedy;21;English;27;true;1.5;24/05/2000;09:46:07;Maquillaje
TV;Comedy;22;English;27;false;8.6;04/09/2010;10:40:12;Maquillaje Optico Sonido
TV;Comedy;20;English;27;true;9.7;04/02/2016;20:36:52;Optico
TV;Comedy;22;English;27;false;0.5;29/10/1999;06:31:12;Maquillaje Sonido
TV;Comedy;22;English;27;false;7.1;15/05/2018;11:08:04;Optico
TV;Comedy;22;English;27;false;6.0;31/01/2017;09:02:05;Maquillaje Optico Sonido
TV;Comedy;22;English;27;false;4.9;18/06/2011;11:57:46;Optico
TV;Comedy;22;English;27;false;0.9;19/11/2002;05:20:02;Sonido
TV;Comedy;20;English;49;false;3.1;21/04/2001;04:35:25;Optico Sonido
MOVIE;Fantasy;23;Spanish;49;true;0.9;12/07/2005;10:08:25;Maquillaje Sonido
MOVIE;Fantasy;154;English;49;true;7.0;19/04/2008;13:16:29;Optico Sonido
TV;Musical;49;Korean;49;true;7.3;21/01/2010;07:48:33;Maquillaje
TV;Comedy;23;English;49;true;6.7;18/04/2013;10:41:40;Optico Sonido
TV;Comedy;23;English;49;false;2.2;01/07/2010;02:18:31;Optico Sonido
TV;Comedy;23;English;49;false;5.6;06/12/2018;18:05:31;Optico Sonido
TV;Comedy;23;English;49;false;4.5;13/04/2018;09:41:05;Optico
TV;Comedy;23;English;49;false;4.9;23/11/2020;14:26:57;Sonido
TV;Comedy;21;English;49;true;1.5;23/11/2020;16:19:01;Maquillaje Sonido
TV;Comedy;24;English;49;true;0.1;01/09/2018;15:23:58;Optico Sonido
TV;Comedy;24;English;49;false;2.8;24/06/2015;20:37:25;Maquillaje Sonido
TV;Comedy;24;English;49;true;1.0;28/12/2008;12:25:18;Optico
TV;Comedy;24;English;49;true;6.6;03/12/2007;15:23:38;Optico
TV;Musical;82;Korean;65;false;3.5;19/05/2001;22:17:24;Sonido
TV;Musical;76;Korean;65;true;1.6;06/09/2021;22:30:45;Optico
TV;Musical;72;Korean;65;false;6.4;04/11/2016;06:08:12;Optico Sonido
TV;Musical;80;Korean;65;false;6.6;08/05/2010;03:20:06;Maquillaje Sonido
TV;Musical;71;Korean;65;false;5.3;09/05/2016;03:08:58;Maquillaje Sonido
TV;Musical;69;Korean;65;false;5.4;28/02/2002;23:23:56;Optico Sonido
TV;Musical;60;Korean;65;true;0.6;10/01/2021;16:34:58;Maquillaje Sonido
TV;Musical;69;Korean;65;true;0.7;04/10/2011;19:51:34;Maquillaje
TV;Musical;66;Korean;65;false;6.4;20/05/2009;05:43:49;Maquillaje
TV;Musical;74;Korean;65;false;5.8;22/09/2015;14:56:55;Maquillaje Optico
TV;Musical;72;Korean;65;false;7.3;27/10/2005;11:38:22;Maquillaje
TV;Musical;65;Korean;65;true;5.7;08/04/2011;12:21:03;Maquillaje Optico
TV;Musical;67;Korean;65;false;2.1;09/08/2019;08:07:39;Optico Sonido
TV;Musical;76;Korean;65;false;9.1;25/06/2003;14:50:24;Maquillaje
TV;Musical;65;Korean;65;false;9.8;13/09/2006;19:36:03;Optico Sonido
TV;Musical;73;Korean;65;true;7.6;05/09/2001;21:27:30;Maquillaje Sonido
MOVIE;Kids;100;English;65;false;4.9;29/04/2005;09:06:31;Maquillaje
TV;Musical;64;Korean;35;true;1.4;13/10/2014;13:49:54;Optico
TV;Musical;63;Korean;35;true;7.8;31/01/2003;12:49:10;Sonido
TV;Musical;65;Korean;35;false;0.5;14/06/2009;11:40:44;Maquillaje
TV;Musical;65;Korean;35;false;6.8;02/10/2010;22:27:20;Maquillaje Optico Sonido
TV;Musical;65;Korean;35;false;4.0;15/03/2001;07:48:36;Maquillaje Optico Sonido
TV;Musical;64;Korean;35;false;8.5;28/08/2017;09:19:05;Maquillaje Sonido
TV;Musical;64;Korean;35;false;1.8;31/08/2004;18:35:45;Maquillaje Optico
TV;Musical;64;Korean;35;false;8.0;14/01/2023;03:46:49;Optico Sonido
TV;Musical;64;Korean;35;true;3.5;03/01/2011;05:01:05;Maquillaje Sonido
TV;Musical;64;Korean;35;false;8.7;31/10/2014;11:16:36;Maquillaje
TV;Musical;64;Korean;35;false;4.7;18/06/2017;03:59:01;Maquillaje Sonido
TV;Musical;64;Korean;35;true;6.4;21/01/2013;20:11:38;Maquillaje Sonido
TV;Musical;63;Korean;35;true;3.9;15/05/1999;18:55:54;Optico Sonido
TV;Musical;63;Korean;35;false;2.5;02/11/2001;21:06:37;Maquillaje Optico Sonido
TV;Musical;64;Korean;35;false;1.9;27/11/2002;06:08:46;Sonido
TV;Musical;63;Korean;35;true;5.6;08/06/2014;01:37:18;Maquillaje Optico Sonido
TV;Musical;44;English;38;true;0.5;11/10/2005;09:35:43;Sonido
MOVIE;Musical;95;English;38;false;1.6;10/02/2000;05:16:32;Sonido
MOVIE;Action and Adventure;99;English;38;true;8.7;24/04/2002;13:02:04;Optico Sonido
MOVIE;Musical;147;English;38;false;7.3;01/04/2022;01:43:01;Optico
MOVIE;Action and Adventure;110;English;38;false;9.1;01/06/2014;07:14:30;Optico Sonido
MOVIE;Horror;123;English;38;false;2.4;03/07/2010;08:26:17;Maquillaje Sonido
TV;Romance;65;Korean;38;false;1.6;20/08/2004;04:14:45;Maquillaje Optico Sonido
TV;Romance;65;Korean;38;true;5.5;24/04/2018;07:48:22;Maquillaje
TV;Romance;65;Korean;38;false;2.1;02/04/2020;11:10:12;Optico
TV;Romance;70;Korean;38;true;6.1;28/06/2011;16:52:57;Maquillaje Optico Sonido
TV;Romance;63;Korean;37;false;1.9;28/11/2005;12:45:42;Maquillaje Optico Sonido
TV;Romance;61;Korean;37;true;8.1;02/12/2003;00:15:06;Maquillaje Sonido
TV;Romance;59;Korean;37;false;6.8;04/04/1999;15:58:45;Maquillaje Optico Sonido
TV;Romance;69;Korean;37;false;1.7;21/02/2023;16:10:55;Maquillaje Optico
TV;Romance;57;Korean;37;false;5.6;20/09/2010;14:02:49;Sonido
TV;Romance;68;Korean;37;false;6.0;13/02/2006;20:29:18;Maquillaje Optico
TV;Romance;62;Korean;37;false;3.3;29/04/2015;18:07:01;Sonido
TV;Romance;63;Korean;37;true;1.1;06/10/2016;12:24:33;Sonido
TV;Romance;70;Korean;37;false;9.1;15/11/2003;19:15:22;Optico Sonido
TV;Romance;62;Korean;37;true;6.8;22/02/1999;04:19:04;Optico Sonido
TV;Romance;67;Korean;37;false;7.7;01/12/2015;19:00:47;Optico
TV;Romance;67;Korean;37;false;4.8;28/04/2006;13:54:02;Maquillaje Optico Sonido
TV;Romance;66;Korean;37;false;2.8;26/01/2000;04:31:08;Optico
TV;Romance;70;Korean;37;false;9.8;25/06/2001;23:43:32;Maquillaje Sonido
TV;Romance;64;Korean;37;false;4.7;20/05/2021;11:46:40;Maquillaje Optico
TV;Romance;66;Korean;37;false;5.2;25/01/2015;11:31:36;Sonido
TV;Musical;42;English;51;true;5.4;04/10/2004;20:15:00;Maquillaje Optico
TV;Musical;43;English;51;true;6.4;25/07/2002;02:04:31;Optico
TV;Musical;42;English;51;true;0.8;27/08/2005;07:53:51;Sonido
TV;Musical;64;Korean;35;true;9.3;19/04/2000;07:58:44;Optico Sonido
TV;Musical;64;Korean;35;true;6.5;12/03/2014;09:09:27;Maquillaje
TV;Musical;64;Korean;35;true;9.2;07/06/2005;22:37:33;Optico Sonido
TV;Musical;64;Korean;35;false;9.5;29/11/1999;16:42:07;Maquillaje
TV;Musical;46;Spanish;60;true;6.4;26/01/2001;23:43:41;Maquillaje Optico Sonido
TV;Musical;45;Spanish;60;true;8.1;12/09/2006;15:00:39;Maquillaje Optico
TV;Reality;27;Spanish;69;true;9.0;30/10/2007;15:42:18;Sonido
TV;Musical;46;Spanish;32;true;3.1;08/04/2010;08:28:17;Maquillaje Optico Sonido
TV;Musical;46;Spanish;32;true;4.2;09/02/2022;15:52:49;Optico Sonido
TV;Musical;52;English;42;false;1.8;04/10/2003;05:07:43;Maquillaje Optico
TV;Romance;40;Malay;70;true;8.4;12/05/2002;11:21:42;Maquillaje
TV;Romance;40;Malay;70;true;8.4;02/06/2002;18:03:59;Optico Sonido
TV;Musical;44;English;9;false;9.7;14/12/2008;14:42:39;Optico Sonido
TV;Musical;60;Korean;46;true;7.5;07/01/2011;18:00:10;Optico
TV;Musical;59;Korean;46;false;7.2;15/07/2019;15:22:36;Optico
TV;Musical;63;Korean;46;false;0.3;25/11/2001;00:47:35;Optico
TV;Musical;64;Korean;46;true;0.9;05/02/2016;06:05:47;Sonido
TV;Musical;62;Korean;46;true;5.2;11/11/2019;21:02:15;Maquillaje Sonido
TV;Musical;60;Korean;46;false;1.9;16/08/2018;20:33:49;Maquillaje Optico
TV;Musical;60;Korean;46;false;8.6;11/03/2003;12:59:58;Optico
TV;Musical;64;Korean;46;true;0.5;15/05/2016;10:47:45;Sonido
TV;Musical;64;Korean;46;false;4.2;08/06/2020;05:11:47;Optico
TV;Musical;63;Korean;46;true;6.2;31/12/2014;22:06:11;Maquillaje Sonido
TV;Musical;63;Korean;46;true;7.4;24/11/2019;13:31:23;Maquillaje Optico Sonido
TV;Musical;64;Korean;46;false;1.4;11/06/2021;21:07:46;Maquillaje Sonido
TV;Musical;63;Korean;46;false;8.1;09/03/2021;17:21:30;Maquillaje
TV;Musical;63;Korean;46;false;1.2;05/03/2004;15:01:31;Optico
TV;Musical;64;Korean;46;true;4.4;26/02/2000;12:23:53;Optico Sonido
TV;Musical;63;Korean;46;true;6.4;04/02/2001;14:09:38;Sonido
TV;Musical;63;Korean;46;true;5.4;25/03/2007;03:55:41;Maquillaje Optico Sonido
TV;Musical;67;Korean;15;false;3.0;22/09/2002;02:28:50;Maquillaje Optico Sonido
TV;Musical;42;English;12;false;9.6;23/12/2021;15:56:53;Maquillaje Sonido
TV;Musical;46;Malay;71;false;1.4;30/10/2017;19:07:13;Maquillaje Optico Sonido
TV;Kids;22;English;21;true;9.8;17/01/2013;01:08:20;Optico Sonido
TV;Musical;42;English;72;true;8.8;15/09/2017;18:42:27;Maquillaje Optico Sonido
TV;Musical;41;English;73;false;9.4;18/06/2000;06:10:39;Optico
MOVIE;Horror;93;English;73;true;6.1;02/11/2018;17:12:05;Maquillaje Optico
TV;Musical;67;Korean;73;false;8.7;27/09/2011;13:16:47;Maquillaje Optico
TV;Kids;23;English;73;false;2.6;14/11/2010;12:39:42;Optico Sonido
TV;Musical;41;English;73;true;7.0;15/05/2005;15:54:55;Optico
TV;Kids;12;English;73;true;3.6;29/12/2007;05:18:03;Maquillaje Optico Sonido
MOVIE;Musical;141;English;73;false;1.1;18/09/2000;07:22:20;Sonido
MOVIE;Comedy;116;English;73;true;1.7;18/06/2014;08:36:07;Optico
MOVIE;Action and Adventure;118;English;73;false;2.3;20/08/2009;03:54:17;Optico Sonido
MOVIE;Musical;108;English;73;true;1.9;02/11/2006;08:47:40;Maquillaje
MOVIE;Comedy;110;English;73;true;0.6;21/08/2009;11:00:15;Maquillaje Optico Sonido
MOVIE;Action and Adventure;111;English;73;false;0.6;02/09/2013;00:16:12;Maquillaje Optico
MOVIE;Comedy;93;English;73;true;6.3;14/08/2012;04:36:09;Maquillaje
TV;Comedy;21;English;78;true;3.9;12/02/2009;23:35:01;Optico
TV;Comedy;21;English;78;false;0.2;14/01/2002;06:18:26;Sonido
TV;Fantasy;42;English;54;false;7.9;08/10/2022;17:49:38;Maquillaje Optico Sonido
TV;Musical;63;Korean;63;true;5.3;10/05/2007;03:12:01;Maquillaje Optico
TV;Musical;64;Korean;63;false;9.6;22/12/2021;18:41:41;Maquillaje Optico
TV;Musical;65;Korean;63;true;7.9;23/10/2005;19:08:46;Maquillaje Sonido
TV;Musical;63;Korean;63;false;6.2;23/02/2001;23:27:05;Maquillaje
TV;Musical;65;Korean;63;false;7.8;01/02/2019;16:30:47;Maquillaje
TV;Musical;65;Korean;63;true;6.3;09/12/2012;02:58:47;Maquillaje Optico
TV;Musical;65;Korean;63;false;2.0;15/08/2007;16:08:51;Maquillaje Optico
TV;Musical;65;Korean;63;false;3.8;07/02/2021;09:25:28;Maquillaje Optico Sonido
TV;Musical;64;Korean;63;false;4.6;21/06/2015;18:04:37;Maquillaje Optico
TV;Musical;65;Korean;63;true;8.1;29/02/2004;13:57:44;Maquillaje Optico Sonido
TV;Musical;59;Korean;63;true;9.8;19/11/2016;07:05:49;Sonido
TV;Musical;65;Korean;63;true;9.4;20/10/2012;14:00:01;Maquillaje Sonido
TV;Musical;65;Korean;63;true;2.2;13/09/2001;04:15:27;Maquillaje
TV;Musical;64;Korean;63;true;0.6;28/06/2016;23:32:16;Optico Sonido
TV;Musical;66;Korean;63;true;5.0;26/02/2005;01:46:14;Maquillaje Sonido
TV;Musical;63;Korean;63;true;3.3;11/09/2004;03:35:28;Maquillaje Sonido
TV;Crime and Mystery;42;English;74;false;5.4;23/12/2010;07:09:29;Optico
TV;Musical;67;Korean;64;false;9.1;12/05/2008;15:47:24;Maquillaje Sonido
TV;Musical;67;Korean;64;true;5.1;03/09/2012;04:29:15;Maquillaje Optico
TV;Musical;67;Korean;64;true;1.2;25/12/2022;20:17:33;Maquillaje Optico
TV;Musical;66;Korean;64;false;0.1;05/11/2013;19:58:56;Maquillaje
TV;Musical;67;Korean;64;false;2.9;02/08/2001;02:12:23;Optico
TV;Musical;62;Korean;64;false;6.0;18/08/2000;00:50:45;Maquillaje Optico Sonido
TV;Musical;66;Korean;64;true;7.9;24/09/2014;01:00:01;Maquillaje Optico
TV;Musical;61;Korean;64;false;7.4;13/03/2016;17:07:01;Sonido
TV;Musical;67;Korean;64;true;3.2;14/02/2016;11:47:19;Optico Sonido
TV;Musical;65;Korean;64;true;6.6;30/01/2017;01:32:08;Maquillaje Optico
MOVIE;Musical;134;English;64;false;1.1;09/08/2007;07:19:05;Maquillaje Optico
